Number of elements,Emperical FPP,Effecitve FPP,New FPP
100,2.45E-06,1.70E-06,1.33E-05
200,1.63E-05,2.52E-05,0.0237164
300,3.42E-05,2.52E-05,0.0354034
400,2.36E-05,2.52E-05,0.0353736
500,1.40E-05,2.52E-05,0.0353624
600,2.92E-05,2.52E-05,0.0237278
700,1.91E-05,2.52E-05,0.0237164
800,2.77E-05,2.52E-05,0.0354034
900,1.93E-05,2.52E-05,0.0353736
1000,3.55E-05,2.52E-05,0.0353624
1100,3.35E-05,2.52E-05,0.0237278
1200,2.03E-05,2.52E-05,0.0237164
TEST PARAMETERS,,,
Number of bloom filters in FBF,3,,
Number of hash functions,3,,
Refresh Rate,5,,
Batch Operations,25,,
Invalid check,10,,
